Brand,CC,Milage in kmpl,Fuel Type,Ratings,Rated By,Base Model Price,Top Model Price,Model
Kia,1497.0,21.0, Petrol  Diesel,4.4,755.0,995000.0,1764999.9999999998, Seltos
Kia,1197.0,24.0, Petrol  Diesel,4.3,241.0,679000.0,1335000.0, Sonet
Kia,2199.0,14.0, Diesel,4.5,101.0,2495000.0,3395000.0000000005, Carnival
Volkswagen,999.0,18.0, Petrol,4.2,604.0,616000.0,999000.0, Polo
Volkswagen,999.0,18.0, Petrol,4.3,313.0,999000.0,1383000.0, Vento
Volkswagen,1498.0,18.0, Petrol,4.6,13.0,2135000.0,, T-Roc
Volkswagen,1984.0,17.0, Petrol,4.4,10.0,3420000.0000000005,, Tiguan Allspace
Renault,799.0,22.0, Petrol,3.8,716.0,332000.0,548000.0, KWID
Renault,999.0,, Petrol,4.2,33.0,564000.0,1008000.0, Kiger
Renault,999.0,20.0, Petrol,4.1,351.0,550000.0,795000.0, Triber
Renault,1498.0,16.0, Petrol,4.0,334.0,986000.0,1425000.0, Duster
BMW,1998.0,20.0, Petrol  Diesel,4.2,47.0,3850000.0,4290000.0, X1
BMW,2993.0,13.0, Petrol  Diesel,4.2,32.0,7650000.0,8800000.0, X5
BMW,1998.0,20.0, Petrol  Diesel,4.4,74.0,4360000.0,6290000.0, 3 Series
BMW,2993.0,13.0, Petrol  Diesel,4.4,31.0,9590000.0,165000.0, X7
BMW,2998.0,10.0, Petrol,4.6,9.0,9690000.0,, X6
BMW,1998.0,19.0, Petrol  Diesel,4.4,4.0,3790000.0,4230000.0, 2 Series
BMW,1998.0,20.0, Petrol  Diesel,4.3,123.0,5600000.0,6909999.999999999, 5 Series
BMW,2998.0,14.0, Petrol,4.3,39.0,6700000.0,8190000.000000001, Z4
BMW,1998.0,17.0, Petrol  Diesel,4.1,25.0,5750000.0,6370000.0, X3
BMW,1995.0,17.0, Petrol  Diesel,4.1,11.0,6240000.0,6959999.999999999, X4
BMW,2993.0,40.0, Petrol  Diesel,4.6,50.0,13700000.0,24600000.0, 7 Series
BMW,1998.0,19.0, Petrol  Diesel,4.6,32.0,6790000.000000001,7790000.000000001, 6 Series
BMW,2998.0,11.0, Petrol,4.5,20.0,13200000.0,21800000.0, 8 Series
BMW,2979.0,11.0, Petrol,4.5,14.0,8500000.0,, M2
BMW,2993.0,9.0, Petrol,4.7,2.0,9990000.0,, X3 M
BMW,4395.0,8.0, Petrol,4.5,2.0,19400000.0,, X5 M
BMW,1998.0,20.0, Petrol  Diesel,4.7,3.0,5150000.0,5390000.0, 3 Series Gran Limousine
Mercedes,1950.0,, Petrol  Diesel,5.0,1.0,4360000.0,5878000.0, GLA
Mercedes,2925.0,, Petrol  Diesel,4.4,11.0,10400000.0,24300000.0, GLS
Mercedes,2925.0,16.0, Petrol  Diesel,4.4,7.0,6360000.0,8090000.000000001, E-Class
Mercedes,1950.0,10.0, Petrol  Diesel,4.4,11.0,7723999.999999999,12500000.0, GLE
Mercedes,2143.0,16.0, Diesel,4.7,9.0,7109999.999999999,14600000.0, V-Class
Mercedes,1991.0,13.0, Petrol  Diesel,4.6,18.0,5736000.0,6313000.0, GLC
Mercedes,2000.0,, Electric,5.0,2.0,10400000.0,, EQC
Mercedes,2999.0,, Petrol,4.2,4.0,12700000.0,, AMG GLE 53
Mercedes,1950.0,19.0, Diesel,4.5,2.0,8639000.0,, CLS
Mercedes,2925.0,8.0, Petrol  Diesel,4.5,47.0,16200000.0,24200000.0, G-Class
Mercedes,2996.0,14.0, Petrol  Diesel,4.4,74.0,14100000.0,27800000.0, S-Class
Mercedes,3982.0,13.0, Petrol,4.5,25.0,22700000.0,26300000.0, AMG GT
Mercedes,2000.0,, Diesel,,,,, E-Class All-Terrain
Mercedes,1998.0,, Petrol  Diesel,4.3,1.0,3990000.0,5624000.0, A-Class Limousine
Mercedes,3982.0,13.0, Petrol  Diesel,4.4,109.0,4131000.0,13900000.0, C-Class
Mercedes,3998.0,, Petrol,4.3,10.0,25700000.0,, AMG GT 4-Door Coupe
Mercedes,1991.0,16.0, Petrol  Diesel,,,6665000.000000001,8153000.0, GLC Coupe
Datsun,799.0,22.0, Petrol,3.9,87.0,383000.0,495000.0, redi-GO
Datsun,1198.0,20.0, Petrol,3.5,191.0,402000.0,651000.0, GO
Datsun,1198.0,19.0, Petrol,3.8,232.0,425000.0,699000.0, GO Plus
Volvo,1969.0,46.0, Petrol  Diesel,4.4,29.0,8090000.000000001,13100000.0, XC90
Volvo,1969.0,, Petrol,4.5,17.0,4125000.0,, XC40
Volvo,1969.0,, Petrol,4.7,4.0,4590000.0,, S60
Volvo,1969.0,18.0, Diesel,4.4,12.0,6090000.0,, S90
Volvo,1969.0,11.0, Diesel,4.3,23.0,6090000.0,, XC60
Volvo,2000.0,, Diesel,,,,, V90 Cross Country
Lamborghini,3996.0,8.0, Petrol,4.3,48.0,31500000.0,34300000.0, Urus
Lamborghini,6498.0,8.0, Petrol,4.2,90.0,50100000.0,62500000.0, Aventador
Lamborghini,5204.0,7.0, Petrol,4.3,43.0,32100000.0,40000000.0, Huracan EVO
Rolls,6749.0,10.0, Petrol,4.5,107.0,89900000.0,104800000.0, Royce Phantom
Rolls,6750.0,, Petrol,4.5,13.0,69500000.0,79500000.0, Royce Ghost
Rolls,6592.0,10.0, Petrol,4.7,22.0,62200000.0,72100000.0, Royce Wraith
Rolls,6750.0,10.0, Petrol,4.6,32.0,69500000.0,, Royce Cullinan
Rolls,6598.0,10.0, Petrol,4.7,19.0,73000000.0,78500000.0, Royce Dawn
Audi,1984.0,14.0, Petrol,4.2,41.0,5708000.0,6181000.0, A6
Audi,1998.0,17.0, Petrol,4.6,6.0,4319000.0,4761000.0, A4
Audi,2995.0,10.0, Petrol,4.0,4.0,9898000.0,134000.0, Q8
Audi,1984.0,, Petrol,3.9,2.0,3499000.0,4889000.0, Q2
Audi,2995.0,12.0, Petrol,4.6,18.0,15700000.0,, A8
Audi,3996.0,9.0, Petrol,4.8,8.0,19400000.0,, RS7
Audi,2000.0,, Diesel,,,,, GTI
Audi,3998.0,, Petrol,5.0,1.0,207000.0,20700000.0, RS Q8
Audi,2994.0,, Petrol,,,8048999.999999999,, S5 Sportback
Skoda,999.0,19.0, Petrol,4.3,514.0,779000.0,1329000.0, New Rapid
Skoda,1984.0,16.0, Petrol,4.9,3.0,2599000.0,2899000.0, Octavia
Skoda,1984.0,15.0, Petrol,4.4,11.0,3199000.0,3499000.0, New Superb
Nissan,999.0,20.0, Petrol,4.2,68.0,559000.0,1000000.0, Magnite
Nissan,1498.0,14.0, Petrol,4.4,63.0,949000.0,1464000.0, Kicks
Nissan,3798.0,9.0, Petrol,4.5,18.0,212000.0,, GT-R
Jaguar,1997.0,, Petrol,4.1,7.0,9797000.0,26100000.0, F-TYPE
Jaguar,1997.0,, Petrol,4.3,12.0,4664000.0,4850000.0, XE
Jaguar,1997.0,, Petrol  Diesel,4.0,1.0,6998999.999999999,, F-Pace
Jaguar,2000.0,, Electric,4.7,1.0,10500000.0,11200000.0, I-Pace
Jaguar,1997.0,11.0, Petrol,4.3,31.0,5567000.0,, XF
MINI,1998.0,14.0, Petrol,1.0,1.0,3950000.0,4340000.0, Cooper Countryman
MINI,1998.0,17.0, Petrol,4.3,16.0,4010000.0,, Cooper Convertible
MINI,1998.0,17.0, Petrol,4.5,13.0,3510000.0,, Cooper 3 DOOR
Porsche,2981.0,9.0, Petrol,4.1,18.0,16300000.0,30700000.0, 911
Porsche,1984.0,, Petrol,4.5,4.0,6998000.0,8395000.0, Macan
