Brand,Model,Ratings,Rated By,CC or Watt,Fuel Type,Start Price,Top Model Price,bhp,Weight
Suzuki, 2021 Hayabusa,4.3,19.0,1340.0,Petrol,1639999.9999999998,,190.0,264.0
Suzuki, Gixxer,4.3,392.0,155.0,Petrol,116000.0,,13.6,141.0
Suzuki, Gixxer SF,4.3,508.0,155.0,Petrol,124000.0,127000.0,13.6,148.0
Suzuki, Intruder,4.2,232.0,155.0,Petrol,124000.0,,13.6,152.0
Suzuki, Gixxer SF 250,4.4,107.0,249.0,Petrol,178000.0,179000.0,26.5,161.0
Suzuki, Gixxer 250,4.4,54.0,249.0,Petrol,167000.0,,26.5,156.0
Suzuki, V-Strom 650XT,4.3,10.0,645.0,Petrol,885000.0,,,216.0
CFMoto, 300NK,4.3,9.0,292.4,Petrol,229000.0,,33.99,151.0
Vespa, VXL 150,4.1,56.0,149.5,Petrol,125000.0,,10.47,115.0
Vespa, SXL 125,3.9,72.0,124.45,Petrol,117000.0,122000.0,9.92,115.0
Vespa, ZX 125,3.9,23.0,124.45,Petrol,102000.0,,9.92,115.0
Vespa, VXL 125,3.9,88.0,124.45,Petrol,113000.0,,9.92,115.0
Vespa, SXL 150,4.0,16.0,149.5,Petrol,129000.0,135000.0,10.47,115.0
Vespa, Elegante 150,4.5,23.0,149.5,Petrol,137000.0,,10.47,115.0
Harley-Davidson, Iron 883,4.2,80.0,883.0,Petrol,1011000.0,,,256.0
Harley-Davidson, Forty Eight,4.3,22.0,1202.0,Petrol,1175000.0,,,252.0
Harley-Davidson, Fat Boy 114,4.2,31.0,1745.0,Petrol,2090000.0,,,322.0
Harley-Davidson, Fat Bob 114,4.3,32.0,1868.0,Petrol,1675000.0,,,306.0
Harley-Davidson, Pan America 1250,,,1252.0,Petrol,1689999.9999999998,1999000.0,,245.0
Harley-Davidson, Street Glide Special,4.1,7.0,1868.0,Petrol,3199000.0,,,379.0
Harley-Davidson, Road King,4.2,9.0,1745.0,Petrol,2699000.0,,,379.0
Harley-Davidson, Road Glide Special,4.5,6.0,1868.0,Petrol,3499000.0,,,391.0
Harley-Davidson, Heritage Classic,3.1,4.0,1868.0,Petrol,2149000.0,,,330.0
Harley-Davidson, Electra Glide Standard,5.0,1.0,1745.0,Petrol,2499000.0,,,354.0
Harley-Davidson, Low Rider S,,,1868.0,Petrol,1469000.0,,,308.0
Harley-Davidson, Street Bob,,,1868.0,Petrol,1599000.0,,,297.0
Harley-Davidson, Softail ,,,1746.0,Petrol,1525000.0,,,297.0
Triumph, Rocket 3,4.3,8.0,2458.0,Petrol,1995000.0,2095000.0,167.0,
Triumph, Street Twin,4.3,26.0,900.0,Petrol,795000.0,825000.0,,
Triumph, Trident 660,5.0,3.0,660.0,Petrol,695000.0,,,189.0
Triumph, Street Triple,4.1,39.0,765.0,Petrol,915000.0,1135000.0,123.0,
Triumph, Tiger 900,4.7,6.0,888.0,Petrol,1370000.0,1550000.0,95.2,
Triumph, Bonneville Bobber,4.4,7.0,1200.0,Petrol,1175000.0,,,251.0
Triumph, Bonneville T120,4.0,9.0,1200.0,Petrol,929000.0,1065000.0,,
Triumph, Bonneville T100,4.3,12.0,900.0,Petrol,886999.9999999999,959000.0,,
Triumph, Street Scrambler 900,4.2,1.0,900.0,Petrol,965000.0,,,223.0
Triumph, Bonneville Speedmaster,4.8,2.0,1200.0,Petrol,1175000.0,,,
Triumph, Scrambler 1200,,,1200.0,Petrol,1375000.0,,,205.0
Triumph, Tiger 850 Sport,4.0,2.0,888.0,Petrol,1195000.0,,,
Triumph, Speed Triple 1200,4.4,2.0,1160.0,Petrol,1695000.0,,180.0,
BMW, G 310 R,4.3,123.0,313.0,Petrol,250000.0,,,164.0
BMW, S 1000 RR,4.3,57.0,999.0,Petrol,1950000.0,2375000.0,206.6,197.0
BMW, G 310 GS,4.1,81.0,313.0,Petrol,290000.0,,,169.5
BMW, R 1250 GS,4.3,11.0,1254.0,Petrol,2045000.0,,136.0,249.0
BMW, M 1000 RR,4.3,4.0,999.0,Petrol,4200000.0,4500000.0,212.1,192.0
BMW, R 1250 GS Adventure,3.8,8.0,1254.0,Petrol,2235000.0,,136.0,268.0
BMW, R nineT,5.0,1.0,1170.0,Petrol,1850000.0,,108.77,221.0
BMW, R NineT Scrambler,5.0,1.0,1170.0,Petrol,1675000.0,,108.77,223.0
BMW, F 900 XR,,,895.0,Petrol,1095000.0,1240000.0,104.6,219.0
BMW, F 900 R,5.0,1.0,895.0,Petrol,1080000.0,,104.6,211.0
BMW, R 1250 RT,,,1254.0,Petrol,2250000.0,,135.9,279.0
BMW, R 1250 R,4.6,4.0,1254.0,Petrol,1625000.0,,135.96,239.0
BMW, S 1000 XR,5.0,1.0,999.0,Petrol,2130000.0,,164.5,226.0
BMW, R 18,5.0,1.0,1802.0,Petrol,1990000.0,2400000.0,91.09,345.0
BMW, 2021 S 1000 R,,,999.0,Petrol,1789999.9999999998,2250000.0,165.0,199.0
Aprilia, SXR 160,4.2,20.0,160.0,Petrol,127000.0,,10.9,129.0
Aprilia, SR 160,3.9,68.0,160.03,Petrol,106000.0,113000.0,11.01,118.0
Aprilia, SXR 125,5.0,2.0,124.45,Petrol,116000.0,,9.52,
Mahindra, Mojo 300 BS6,4.0,13.0,294.72,Petrol,199000.0,211000.0,25.72,186.2
Kawasaki, 2021 Ninja H2,4.3,44.0,998.0,Petrol,7990000.000000001,,310.0,238.0
Kawasaki, Ninja 300,4.3,206.0,296.0,Petrol,318000.0,,,179.0
Kawasaki, Ninja ZX-10R,4.4,59.0,998.0,Petrol,1499000.0,,203.0,207.0
Kawasaki, Z900,4.6,51.0,948.0,Petrol,834000.0,,125.0,212.0
Kawasaki, Ninja 1000SX,4.1,42.0,1043.0,Petrol,1129000.0,,142.0,238.0
Kawasaki, Ninja 650,4.5,27.0,649.0,Petrol,654000.0,,,196.0
Kawasaki, Vulcan S,4.2,30.0,649.0,Petrol,604000.0,,,235.0
Kawasaki, Z650,4.1,16.0,649.0,Petrol,618000.0,,,191.0
Kawasaki, Z H2,5.0,1.0,998.0,Petrol,2190000.0,2590000.0,200.0,239.0
Kawasaki, KLX 110,4.1,3.0,112.0,Petrol,299000.0,,7.3,
Kawasaki, Versys 650,4.3,19.0,649.0,Petrol,708000.0,,,218.0
Kawasaki, KX 100,4.0,4.0,,Petrol,487000.0,,,
Kawasaki, KX 250,5.0,1.0,249.0,Petrol,743000.0,,,104.7
Kawasaki, KLX 140,3.0,2.0,144.0,Petrol,406000.0,,,
Kawasaki, KX 450F,5.0,3.0,449.0,Petrol,779000.0,,,110.0
Kawasaki, KLX 450R,3.4,1.0,449.0,Petrol,849000.0,,,126.0
Kawasaki, Versys 1000,5.0,3.0,1043.0,Petrol,1144000.0,,120.0,255.0
Kawasaki, W800 Street,5.0,3.0,773.0,Petrol,719000.0,,,224.0
Ducati, 2021 Panigale V4,4.2,20.0,1103.0,Petrol,2350000.0,2840000.0,216.9,198.0
Ducati, Scrambler 800,4.4,13.0,803.0,Petrol,799000.0,980000.0,73.4,196.0
Ducati, Streetfighter V4,4.6,3.0,1103.0,Petrol,1999000.0,2319000.0,208.0,201.0
Ducati, Diavel 1260,4.0,5.0,1262.0,Petrol,1849000.0,2149000.0,164.2,249.0
Ducati, Panigale V2,4.1,6.0,955.0,Petrol,1748999.9999999998,,155.0,200.0
Ducati, Multistrada 950,4.1,6.0,937.0,Petrol,1549000.0,,114.5,229.0
Ducati, Scrambler Desert Sled,,,803.0,Petrol,1089000.0,,72.8,209.0
Ducati, Scrambler 1100,4.4,2.0,1079.0,Petrol,1099000.0,1374000.0,85.65,206.0
Benelli, Imperiale 400,4.3,89.0,374.0,Petrol,189000.0,193000.0,,205.0
Benelli, TRK 502,4.7,14.0,500.0,Petrol,485000.0,535000.0,47.5,
Benelli, Leoncino 500,4.8,6.0,500.0,Petrol,469000.00000000006,479000.0,47.5,207.0
Husqvarna, Vitpilen 250,4.3,55.0,248.76,Petrol,199000.0,,,153.0
Husqvarna, Svartpilen 250,4.2,105.0,248.76,Petrol,198000.0,,,154.0
Indian, Springfield Dark Horse,3.3,5.0,1890.0,Petrol,2857000.0,,,355.0
White, Carbon Motors GT5,,,3000.0,Electric,115000.0,,,170.0
Okinawa, iPraise,3.5,48.0,2500.0,Electric,108000.0,,,
